Generation,Best Fitness,Mean Fitness,Standard Deviation
0,6.706919450105083,-5.177499625607958,3.495326332827797
1,34.924751864851395,-4.688054301332143,5.235587297484066
2,35.02387278163394,-4.307240205328427,6.38596211249842
3,22.861911851178316,-4.739054818309141,4.827303912966547
4,27.749639693984562,-4.8194983841424355,4.548697212750087
5,19.38621784588714,-4.347973872842691,5.205201615735456
6,12.679317137802691,-4.821519974774007,4.5316920238935845
7,20.04910444297931,-4.464582266300331,4.9725543533053065
8,23.44097359661267,-4.64633439346519,4.762678614870214
9,21.110014348531333,-5.218960477830671,4.78942584667109
10,21.230642178898968,-3.8154001074303068,5.689096297665061
11,19.39047850040348,-4.453820002563508,5.227134664245995
12,19.92815777646316,-4.774924928498466,4.43248491678399
13,19.0324238543761,-5.0558997776929795,4.094992109217444
14,21.508933131629334,-4.690920994713505,4.330503448474355
15,25.756889047054635,-3.7957441675704846,6.367098665040337
16,29.35250042139412,-4.169860959487519,5.2805605907386095
17,22.02211955334986,-4.179908523787542,5.160445454896011
18,17.62347473163222,-4.118731897079144,5.388093178610034
19,30.440404300574027,-4.8693868075066815,5.089376246708268
20,25.246647861844718,-4.392242027438207,4.835235318553418
21,16.770330463884186,-4.941327978730637,4.3728715924881865
22,15.368964985291441,-5.500883919225835,3.036396089552491
23,17.00099903980442,-5.329692407584168,3.588021857218071
24,13.0186860722397,-4.825700179034571,3.7159658772495683
25,23.350714502504196,-4.788051085784249,4.202607516031165
26,26.602022752409127,-4.938116149963341,4.430480709631486
27,21.761983451873895,-5.023233174812859,3.9519119776188067
28,15.223215249949185,-5.337484820863154,3.165778084869783
29,23.39742934974402,-4.890670020111861,4.166308182387746
30,30.08521083479046,-3.9603443238424982,5.895819114129868
31,22.089604853030522,-4.668452355661154,4.2710260118456045
32,18.256158561621884,-5.236407056890991,3.8866007317299807
33,15.224345459332703,-4.871447454600422,3.938772484280162
34,37.34434880812468,-4.212827140475071,6.419467722809098
35,19.09301984611394,-5.111791428555451,3.980123347878308
36,27.670874609913003,-4.972808973879948,4.964163067740503
37,28.7535681298395,-4.74665571370418,4.762788470052087
38,17.235643729378957,-5.379304924958259,3.6374960660436058
39,24.904930756392098,-4.994429337966629,4.679639545172783
40,15.959488482359017,-5.07007231590001,3.778148135517035
41,15.208813172659372,-4.61383896737715,4.258017557665892
42,17.17963181312124,-4.804442491431527,3.9756096022341207
43,23.84031793343017,-4.720841380846236,5.096606990080695
44,24.68300328413137,-4.695979770388602,4.647124140060293
45,19.406632865256654,-4.758588312834098,5.377276556111734
46,19.822310022532104,-5.169207363179671,4.553563937648496
47,13.227240879484974,-5.162739270815492,3.847380140699258
48,18.95370464157427,-4.350885636203388,4.8738418399720045
49,28.503970259043236,-3.99303273983686,5.373342507259158
50,37.1988370298334,-3.4874203710593115,6.7494033648526335
51,33.3867552049132,-3.8015025198438086,7.295862278731962
52,12.35899034222907,-4.788246453664671,3.686813377782827
53,12.189676233583807,-5.146232954653814,3.649027128525065
54,22.173630188130137,-4.612167574962381,4.753110250211289
55,18.179804753432244,-4.6770616308493365,4.268928051707426
56,21.90238797051864,-4.542044570853702,5.823910093263481
57,33.85836998509703,-3.186381835027623,7.2265703275309
58,34.313111122976615,-3.8943038450481007,6.678535684925419
59,19.81071505891262,-4.221619402445621,4.970883372185429
60,30.370900405411014,-3.5449597595166327,5.99025776823372
61,27.995668625675314,-3.537985212771338,5.648863340987168
62,19.26724060388308,-2.9470290261532983,6.268043036643368
63,28.980500943287193,-1.9033440922015523,8.146072986203217
64,18.6983167691764,-2.024092455154142,7.050416037169092
65,55.566920898683165,-2.632731604764484,8.33248766028964
66,14.391719111568186,-3.8879999676814774,4.336631579945828
67,28.41168128244082,-2.2176803792803224,6.952156900889822
68,15.569257584832918,-2.595925041152039,5.846037790995253
69,15.097505194460958,-3.7597046862671206,4.436685177946053
70,37.26578016976876,-3.4371304573107575,6.506649282676041
71,19.10520566164041,-3.9018568962294804,5.8691545234721785
72,20.739359083027757,-4.1335373918742775,5.295695225737235
73,27.779469940993252,-3.6671721262498354,5.90254792663102
74,26.604182192874056,-2.267989890310932,7.647136090691335
75,40.00519654571718,-3.205867129374533,8.329044683435594
76,26.66217481560959,-3.448101994560702,6.5590318711843
77,21.168790475587016,-3.5562666395552567,6.67606769626191
78,39.69822447454834,-2.5882202477983736,8.611634553412093
79,22.000757699415324,-3.0188235049063925,6.5020771813361
80,23.020464231426136,-3.4817599047003256,6.310570208856651
81,23.969807772870425,-3.6055891986509274,5.898229160239768
82,17.477076571694035,-3.7025898348292823,5.510593691326868
83,32.791785332554284,-3.3613858463693997,7.156106087577859
84,34.48380559237364,-2.950916892313339,7.49145140622901
85,39.11994026991904,-2.7978814019382825,8.179477731550223
86,22.357552337322417,-3.96516237285929,5.3684586872275375
87,27.896818451832587,-3.8318499309405545,5.573960679120655
88,19.284438971647283,-3.6817975936810674,5.121015742726256
89,14.432489928425774,-3.9043209039089395,4.460886712909401
90,23.892269333017758,-4.023897224640324,5.797625865501055
91,9.970837058386081,-5.112764991886222,3.4668330668834137
92,20.235956978088012,-4.151042085131348,4.983756884295203
93,27.912087171599588,-3.8151314209861704,6.15276564733694
94,22.45032251622942,-4.2192612666867,4.728102098687989
95,8.434704446343382,-4.680048751187481,3.773680784569985
96,10.968979646750107,-4.215104767869656,3.9684169092983
97,14.509406003305706,-4.722653042592823,3.8760523185827296
98,18.409967799817466,-4.6500309505580795,4.085097034398674
99,37.45917489961383,-4.172629368565039,6.116259718991123
